Net Status Report
Filename     : C:\Users\040602.AMER\Desktop\BD-Z7MB-7Z0X0,G-01-02\Design\Z7MB-7Z0X0-PCB-G.PcbDoc
Date         : 5/2/2018
Time         : 9:47:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    1.0V, Signal Layers Only, 4414.263mils
    1.8V, Signal Layers Only, 6843.576mils
    3.3V, Signal Layers Only, 5720.11mils
    AGND, Signal Layers Only, 503.956mils
    BANK13_LVDS_0_N, Signal Layers Only, 1963.868mils
    BANK13_LVDS_0_P, Signal Layers Only, 1918.348mils
    BANK13_LVDS_1_N, Signal Layers Only, 2311.916mils
    BANK13_LVDS_1_P, Signal Layers Only, 2313.505mils
    BANK13_LVDS_2_N, Signal Layers Only, 1962.785mils
    BANK13_LVDS_2_P, Signal Layers Only, 1964.805mils
    BANK13_LVDS_3_N, Signal Layers Only, 2586.862mils
    BANK13_LVDS_3_P, Signal Layers Only, 2263.489mils
    BANK13_LVDS_4_N, Signal Layers Only, 2068.313mils
    BANK13_LVDS_4_P, Signal Layers Only, 2070.089mils
    BANK13_LVDS_5_N, Signal Layers Only, 2310.99mils
    BANK13_LVDS_5_P, Signal Layers Only, 2310.199mils
    BANK13_LVDS_6_N, Signal Layers Only, 2473.565mils
    BANK13_LVDS_6_P, Signal Layers Only, 2496.415mils
    BANK13_SE_0, Signal Layers Only, 2947.206mils
    DDR3_A0, Signal Layers Only, 2191.895mils
    DDR3_A1, Signal Layers Only, 2126.354mils
    DDR3_A10, Signal Layers Only, 2119.48mils
    DDR3_A11, Signal Layers Only, 2155.48mils
    DDR3_A12, Signal Layers Only, 1906.475mils
    DDR3_A13, Signal Layers Only, 1916.558mils
    DDR3_A14, Signal Layers Only, 2107.335mils
    DDR3_A2, Signal Layers Only, 2277.948mils
    DDR3_A3, Signal Layers Only, 2231.982mils
    DDR3_A4, Signal Layers Only, 2097.67mils
    DDR3_A5, Signal Layers Only, 2189.398mils
    DDR3_A6, Signal Layers Only, 2314.82mils
    DDR3_A7, Signal Layers Only, 2305.633mils
    DDR3_A8, Signal Layers Only, 2088.67mils
    DDR3_A9, Signal Layers Only, 2159.27mils
    DDR3_BA0, Signal Layers Only, 2374.27mils
    DDR3_BA1, Signal Layers Only, 2029.488mils
    DDR3_BA2, Signal Layers Only, 2142.913mils
    DDR3_CAS#, Signal Layers Only, 2281.085mils
    DDR3_CK0_N, Signal Layers Only, 2189.021mils
    DDR3_CK0_P, Signal Layers Only, 2166.144mils
    DDR3_CKE, Signal Layers Only, 2217.146mils
    DDR3_CS#, Signal Layers Only, 2213.124mils
    DDR3_DM0, Signal Layers Only, 2070.719mils
    DDR3_DM1, Signal Layers Only, 2033.963mils
    DDR3_DM2, Signal Layers Only, 1954.303mils
    DDR3_DM3, Signal Layers Only, 1927.578mils
    DDR3_DQ0, Signal Layers Only, 2076.559mils
    DDR3_DQ1, Signal Layers Only, 2006.662mils
    DDR3_DQ10, Signal Layers Only, 2088.212mils
    DDR3_DQ11, Signal Layers Only, 2109.85mils
    DDR3_DQ12, Signal Layers Only, 2099.213mils
    DDR3_DQ13, Signal Layers Only, 2098.363mils
    DDR3_DQ14, Signal Layers Only, 2073.738mils
    DDR3_DQ15, Signal Layers Only, 2105.416mils
    DDR3_DQ16, Signal Layers Only, 2007.592mils
    DDR3_DQ17, Signal Layers Only, 1943.901mils
    DDR3_DQ18, Signal Layers Only, 2046.504mils
    DDR3_DQ19, Signal Layers Only, 2012.083mils
    DDR3_DQ2, Signal Layers Only, 2082.913mils
    DDR3_DQ20, Signal Layers Only, 2040.281mils
    DDR3_DQ21, Signal Layers Only, 2037.856mils
    DDR3_DQ22, Signal Layers Only, 1970.572mils
    DDR3_DQ23, Signal Layers Only, 1983.385mils
    DDR3_DQ24, Signal Layers Only, 1915.902mils
    DDR3_DQ25, Signal Layers Only, 1952.769mils
    DDR3_DQ26, Signal Layers Only, 1931.037mils
    DDR3_DQ27, Signal Layers Only, 1970.981mils
    DDR3_DQ28, Signal Layers Only, 1969.167mils
    DDR3_DQ29, Signal Layers Only, 2053.239mils
    DDR3_DQ3, Signal Layers Only, 1964.288mils
    DDR3_DQ30, Signal Layers Only, 1984.185mils
    DDR3_DQ31, Signal Layers Only, 2034.293mils
    DDR3_DQ4, Signal Layers Only, 2073.369mils
    DDR3_DQ5, Signal Layers Only, 2077.81mils
    DDR3_DQ6, Signal Layers Only, 2019.629mils
    DDR3_DQ7, Signal Layers Only, 2070.566mils
    DDR3_DQ8, Signal Layers Only, 2046.414mils
    DDR3_DQ9, Signal Layers Only, 1992.632mils
    DDR3_DQS0_N, Signal Layers Only, 2072.272mils
    DDR3_DQS0_P, Signal Layers Only, 2073.1mils
    DDR3_DQS1_N, Signal Layers Only, 2092.807mils
    DDR3_DQS1_P, Signal Layers Only, 2082.087mils
    DDR3_DQS2_N, Signal Layers Only, 1988.142mils
    DDR3_DQS2_P, Signal Layers Only, 1996.493mils
    DDR3_DQS3_N, Signal Layers Only, 2064.568mils
    DDR3_DQS3_P, Signal Layers Only, 2077.213mils
    DDR3_ODT, Signal Layers Only, 2262.772mils
    DDR3_RAS#, Signal Layers Only, 2182.101mils
    DDR3_RESET#, Signal Layers Only, 2067.681mils
    DDR3_T_A0, Signal Layers Only, 199.132mils
    DDR3_T_A1, Signal Layers Only, 287.024mils
    DDR3_T_A10, Signal Layers Only, 291.26mils
    DDR3_T_A11, Signal Layers Only, 305.496mils
    DDR3_T_A12, Signal Layers Only, 293.517mils
    DDR3_T_A13, Signal Layers Only, 201.49mils
    DDR3_T_A14, Signal Layers Only, 279.543mils
    DDR3_T_A2, Signal Layers Only, 246.522mils
    DDR3_T_A3, Signal Layers Only, 322.305mils
    DDR3_T_A4, Signal Layers Only, 390.343mils
    DDR3_T_A5, Signal Layers Only, 325.828mils
    DDR3_T_A6, Signal Layers Only, 371.089mils
    DDR3_T_A7, Signal Layers Only, 329.35mils
    DDR3_T_A8, Signal Layers Only, 329.271mils
    DDR3_T_A9, Signal Layers Only, 191.865mils
    DDR3_T_BA0, Signal Layers Only, 319.197mils
    DDR3_T_BA1, Signal Layers Only, 351.99mils
    DDR3_T_BA2, Signal Layers Only, 390.747mils
    DDR3_T_CAS#, Signal Layers Only, 203.154mils
    DDR3_T_CK0_N, Signal Layers Only, 32.378mils
    DDR3_T_CK0_P, Signal Layers Only, 32.792mils
    DDR3_T_CKE, Signal Layers Only, 531.042mils
    DDR3_T_CS#, Signal Layers Only, 310.694mils
    DDR3_T_ODT, Signal Layers Only, 269.675mils
    DDR3_T_RAS#, Signal Layers Only, 183.385mils
    DDR3_T_RESET#, Signal Layers Only, 366.667mils
    DDR3_T_WE#, Signal Layers Only, 416.898mils
    DDR3_VTT, Signal Layers Only, 1530.16mils
    DDR3_WE#, Signal Layers Only, 2146.368mils
    ETH_MD1_N, Signal Layers Only, 769.631mils
    ETH_MD1_P, Signal Layers Only, 761.104mils
    ETH_MD2_N, Signal Layers Only, 620.081mils
    ETH_MD2_P, Signal Layers Only, 629.682mils
    ETH_MD3_N, Signal Layers Only, 1081.555mils
    ETH_MD3_P, Signal Layers Only, 1083.206mils
    ETH_MD4_N, Signal Layers Only, 1242.038mils
    ETH_MD4_P, Signal Layers Only, 1241.726mils
    ETH_MDC, Signal Layers Only, 1725.606mils
    ETH_MDIO, Signal Layers Only, 1582.341mils
    ETH_RST_#, Signal Layers Only, 238.971mils
    ETH_RST_N, Signal Layers Only, 1560.621mils
    ETH_RXD0, Signal Layers Only, 1168.719mils
    ETH_RXD1, Signal Layers Only, 1299.596mils
    ETH_RXD2, Signal Layers Only, 1050.239mils
    ETH_RXD3, Signal Layers Only, 1253.798mils
    ETH_RX_CLK, Signal Layers Only, 1342.393mils
    ETH_RX_CTRL, Signal Layers Only, 1070.397mils
    ETH_TXD0, Signal Layers Only, 2142.909mils
    ETH_TXD1, Signal Layers Only, 2203.391mils
    ETH_TXD2, Signal Layers Only, 2290.736mils
    ETH_TXD3, Signal Layers Only, 2022.645mils
    ETH_TX_CLK, Signal Layers Only, 1929.338mils
